Iterations, Results, Times
-2000.000000, -281321470845691280285344544897937065573367903877151599722330032137415032620213733788786415087873052115312249499489632701733902262441166627589620426041604021720888271290544688025394435959436157403467605767880704.000000, 0.000000
-1990.000000, -25366741201675338900694708191403715541876487143810754906981772800523804133760359865428310166449324074516064538980334119552934074205826666767283185085988752589213745502886872711446438163970789353911539797590016.000000, 0.001001
-1980.000000, -2287317627262535838855515912038527038479474631677243007577192555623438799276897884202522125474961211701598545234633189073255241897346791902950775109764999573639786765762655786002921599797030460021721100451840.000000, 0.000000
-1970.000000, -206247301787443746538282704471514332114283787489406454695614153802241442816002940910298446962156611784940742558303459710407281198647970851181512349187913884104260510922902076727882336774636308088787392528384.000000, 0.001002
-1960.000000, -18597307600654640300931409791894439835160407868844246823567256128548349919593613972271925322910512846291816499656655047766290041108977707987453882102550358998764855734407321640731542815869791990980267737088.000000, 0.000000
-1950.000000, -1676918180242698772528781114000475723250154740428992670330872278287786494230493954296362932916960216050281259959746588647710303485927673975081441591658764949232527803196745464996816620122355872697619054592.000000, 0.001000
-1940.000000, -151207617984954847374602455078664271034286862802846270094097968145622047021311708061364032048327874351335093721436540531409619083294010514160728766538593815476089752655182435494344958573777465206496034816.000000, 0.000000
-1930.000000, -13634382408195368737587802191003365035974076119046792699285040708879194848983943004945295163423720320430076445536787010918137694398168282649044412765656579382574868927950519205572432823519999575743004672.000000, 0.001002
-1920.000000, -1229411494805797515817634387876609807162745855202105835251074701478831279142506454918106172062961322981879495871951448150848474952955361742558506314651893554273464403059380723605242872648017190953418752.000000, 0.000000
-1910.000000, -110855965331595808647587372312449786181532566638687393318522483636727642683185664652418537522069252831400903635263960191926316517338816114542761231186275368997170686335402312875751223403065340025896960.000000, 0.001001
-1900.000000, -9995876158243661060660746513961659574591320164160185796404328729253372785218646972172808744969990012819728041473596875248034216962461648928162433208614690428105239630594029703155998704183097079889920.000000, 0.000000
-1890.000000, -901327590915541494992099601391869722527800528908681859616368294711889241055722661947900144643425973265164433503322749757240763846996606778898835939525309268932869914860477663601039757893633916796928.000000, 0.000000
-1880.000000, -81272658172703503677478438544979745460206876933496869288687246449501934769533333650953695232921071781430155113229758681352202816887473478374749663480505956161215024586507271147838055748571647442944.000000, 0.001000
-1870.000000, -7328351015802923418470010789645333622465904956507664847461841949091208623426019107513411484483085671629860154516947100882383276478479648812956575651428942007943388554170028015957619148024367284224.000000, 0.000000
-1860.000000, -660796998871352039236950125308453474668226467956710546998443858001683655604534898619585309662589843080576275005044860930448779369081791125257002219214599161220324529459763122753087509973547614208.000000, 0.001001
-1850.000000, -59584028218051205685669488960958447668172245822425153400928789482446809984627218103492430047175430540572538781380282564132130186395000975498846232486189736366733810341187475540665702066822316032.000000, 0.000000
-1840.000000, -5372688472788763524736529098040320664693524655860284597553096753440694029605888646577136671051244049270624700792093118898539226229392852988208315100623632834354948841093486582287383864570544128.000000, 0.001001
-1830.000000, -484455017374811472361628834777692159725942042099029555385751828135808954972692895425579829207121681867571433499063504512478422201159895552915078721368077310640103927253994174400503801368805376.000000, 0.000000
