Probability %, Number of People
3.200000, 5
6.000000, 6
7.800000, 7
10.600000, 8
10.900000, 9
16.600000, 10
16.300000, 11
18.100000, 12
20.800000, 13
24.700000, 14
30.400000, 15
33.100000, 16
34.900000, 17
38.800000, 18
40.800000, 19
42.800000, 20
44.600000, 21
53.200000, 22
53.400000, 23
55.000000, 24
57.200000, 25
62.500000, 26
66.200000, 27
68.500000, 28
71.200000, 29
71.700000, 30
75.000000, 31
76.900000, 32
81.200000, 33
83.900000, 34
83.300000, 35
83.700000, 36
86.700000, 37
87.400000, 38
87.800000, 39
88.900000, 40
90.900000, 41
92.300000, 42
92.800000, 43
92.800000, 44
94.600000, 45
94.200000, 46
96.400000, 47
96.500000, 48
96.800000, 49
96.400000, 50
